ibge_code,municipality_name,lat,lon,area_km2,populacao,populacao_ano,densidade_demografica,cd_rgi,cd_rgint,year,residue_stream,residue_stream_pt,sector,sector_pt,residue_tons_yr,biogas_m3_yr,energy_GWh_yr,energy_MWh_yr,biogas_m3_per_capita,biogas_m3_per_km2,conversion_factor,cf_unit,bagaco_excluded_pct,mun_total_GWh,mun_potential_class,mun_n_streams,mun_dominant_stream,source_dataset,notes
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,corn,Milho,agricultural,Agropecuária,33.0,6930.0,0.0691,69.09,0.05,98.36,210.0,m³/ton,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,cattle,Bovinos,livestock,Pecuária,915.9,119070.6,1.1871,1187.13,0.86,1690.0,130.0,m³/head/yr,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,poultry,Aves,livestock,Pecuária,43964.5,65946.8,0.6575,657.49,0.48,936.0,1.5,m³/head/yr,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,swine,Suínos,livestock,Pecuária,1144.9,435065.8,4.3376,4337.61,3.14,6175.0,380.0,m³/head/yr,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,rsu_organic,RSU Orgânico,urban,Urbano,22325.7,4855948.3,48.4138,48413.8,35.04,68921.71,35.04,m³/capita/yr,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB,RSU fração orgânica — biodigestor
3171204,Vespasiano,-19.7308299,-43.94232725,70.456,138583.0,2025,1966.943908,310001,3101,2023,rpo_pruning,Poda Urbana,urban,Urbano,4850.4,97008.1,0.9672,967.17,0.7,1376.86,0.7,m³/capita/yr,0.0,55.6323,BAIXO,6,rsu_organic,CP2B_municipalities_DB,Poda urbana — resíduos verdes
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,sugarcane,Cana-de-açúcar,agricultural,Agropecuária,1620.0,81143.7,0.809,809.0,18.47,246.42,85.0,m³/ton,70.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,bagaço excl. 70% cana (cogeneration)
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,corn,Milho,agricultural,Agropecuária,22.0,4620.0,0.0461,46.06,1.05,14.03,210.0,m³/ton,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,forestry,Silvicultura,forestry,Silvicultura,3265.0,244875.0,2.4414,2441.4,55.73,743.65,75.0,m³/ton,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,cattle,Bovinos,livestock,Pecuária,4280.7,556495.0,5.5483,5548.26,126.65,1690.0,130.0,m³/head/yr,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,poultry,Aves,livestock,Pecuária,205475.1,308212.6,3.0729,3072.88,70.14,936.0,1.5,m³/head/yr,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,swine,Suínos,livestock,Pecuária,5350.9,2033347.2,20.2725,20272.47,462.76,6175.0,380.0,m³/head/yr,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB+IBGE_PAM_PPM_PEVS,
3168309,Taquaraçu de Minas,-19.63009,-43.68006716,329.287,4394.0,2025,13.343983,310001,3101,2023,rsu_organic,RSU Orgânico,urban,Urbano,521.6,153965.8,1.535,1535.04,35.04,467.57,35.04,m³/capita/yr,0.0,33.7559,BAIXO,8,swine,CP2B_municipalities_DB,RSU fração orgânica — biodigestor
